title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Prince Smart Inn Kyoto Sanjo,Kyoto,3505.0,12,1,12,6,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40833.0
Hotel Japanesque Kyoto Station ZEQUU ANNEX,Kyoto,457.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58047.0
Ocean View Hiromi SPA Hotel温泉と絶景の宿,Shizuoka,281.0,10,6,10,11,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,64080.0
Chisun Grand Takayama,Gifu,3496.0,12,1,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54276.0
Kyoto Pleasant Hotel,Kyoto,153.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51509.0
アルファベットイン那覇国際通りWEST,Okinawa,151.0,10,6,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Hotel Hewitt Koshien,Hyogo,3388.0,10,6,10,11,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25147.0
The Yuinchi Hotel Nanjo,Okinawa,1198.0,10,6,10,11,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,26351.0
sala del rey Kyoto South,Kyoto,174.0,10,6,10,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,71569.0
Rizo Zaizen Hotel,Okinawa,387.0,11,10,11,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,76346.0
&and COMFY HOTEL Kumamoto Jo View,Kumamoto,1747.0,10,6,10,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21088.0
Hotel Granvia Wakayama,Wakayama,2219.0,11,10,11,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29569.0
Candeo Hotels Osaka The Tower,Osaka,2716.0,12,1,12,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,58117.0
Grids Premium Hotel Kumamoto,Kumamoto,1501.0,12,1,12,6,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21027.0
ホテル ナインステイツ唐津,Saga,13.0,10,6,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
"Yu Kiroro, Ski-in Ski-out Luxury Residences",Hokkaido,206.0,12,29,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,442147.0
KABIN Kyoto,Kyoto,1680.0,12,29,1,3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,69939.0
Shizutetsu Hotel Prezio Kyoto Shijo,Kyoto,947.0,12,29,1,3,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45477.0
Aki Grand Hotel & Spa,Hiroshima,1345.0,10,13,10,18,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,93418.0
LAMP LIGHT BOOKS HOTEL fukuoka,Fukuoka,3763.0,10,13,10,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39490.0
Hotel Keihan Kyoto Ekiminami,Kyoto,4254.0,10,13,10,18,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39321.0
KABIN Taka,Kyoto,1914.0,12,29,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80106.0
Private condo Kourijima by Coldio Smart Resort,Okinawa,558.0,11,24,11,29,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,54359.0
Hotel Keihan Kyoto Hachijoguchi,Kyoto,3147.0,10,13,10,18,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44636.0
Hotel Sunset Hill,Okinawa,642.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26960.0
Daiwa Roynet Hotel Chiba-chuo,Chiba,3002.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27203.0
